total time excited,811.159,
total time image,54.92,
total number of excited,227,
total number of image,18,
average time excited,3.57339,
average time image,3.05111,
2018-02-20-17-29-06-584,excited,2.704
2018-02-20-17-31-39-352,excited,2.694
2018-02-20-17-33-42-977,excited,2.697
2018-02-20-17-33-52-391,excited,2.698
2018-02-20-17-34-32-666,excited,2.689
2018-02-20-17-35-27-180,excited,2.697
2018-02-20-17-36-48-342,excited,2.696
2018-02-20-17-37-59-048,excited,2.675
2018-02-20-17-40-13-717,excited,2.706
2018-02-20-17-48-39-716,excited,2.676
2018-02-20-17-48-43-243,excited,3.496
2018-02-20-17-48-43-373,Image,0.13
2018-02-20-17-48-44-344,excited,0.97
2018-02-20-17-48-49-678,Image,5.334
2018-02-20-17-48-51-725,excited,2.047
2018-02-20-17-48-52-161,excited,0.094
2018-02-20-17-48-52-675,Image,0.514
2018-02-20-17-48-54-714,excited,2.038
2018-02-20-17-49-26-539,excited,2.698
2018-02-20-17-51-38-565,excited,2.684
2018-02-20-17-51-44-580,excited,2.687
2018-02-20-17-52-25-350,excited,2.679
2018-02-20-17-53-11-529,excited,2.678
2018-02-20-17-53-19-286,excited,2.923
2018-02-20-17-55-40-119,excited,2.682
2018-02-20-18-01-26-393,excited,2.713
2018-02-20-18-02-10-436,excited,2.686
2018-02-20-18-04-20-265,excited,2.677
2018-02-20-18-04-39-621,excited,22.034
2018-02-20-18-04-41-024,Image,1.402
2018-02-20-18-04-43-071,excited,2.048
2018-02-20-18-10-03-722,excited,2.684
2018-02-20-18-12-24-855,excited,2.683
2018-02-20-18-19-24-343,excited,2.694
2018-02-20-18-19-28-876,excited,2.717
2018-02-20-18-20-16-110,excited,2.676
2018-02-20-18-21-06-228,excited,2.68
2018-02-20-18-22-32-980,excited,2.67
2018-02-20-18-24-44-729,excited,2.683
2018-02-20-18-25-42-101,excited,2.66
2018-02-20-18-27-21-638,excited,2.688
2018-02-20-18-27-39-669,excited,2.694
2018-02-20-18-27-50-386,excited,2.696
2018-02-20-18-28-01-394,excited,2.686
2018-02-20-18-28-04-293,excited,2.683
2018-02-20-18-29-14-235,excited,2.71
2018-02-20-18-30-29-270,excited,2.688
2018-02-20-18-31-57-643,excited,2.687
2018-02-20-18-32-32-924,excited,2.708
2018-02-20-18-33-11-369,excited,2.699
2018-02-20-18-33-17-106,excited,2.929
2018-02-20-18-33-45-757,excited,2.701
2018-02-20-18-33-57-647,excited,2.685
2018-02-20-18-34-00-361,excited,2.684
2018-02-20-18-34-32-808,excited,2.682
2018-02-20-18-35-40-314,excited,2.673
2018-02-20-18-38-55-581,excited,2.677
2018-02-20-18-41-07-769,excited,2.699
2018-02-20-18-41-21-451,excited,2.667
2018-02-20-18-41-54-358,excited,0.123
2018-02-20-18-41-57-846,Image,3.487
2018-02-20-18-41-59-869,excited,2.023
2018-02-20-18-42-41-315,excited,2.692
2018-02-20-18-43-46-443,excited,2.686
2018-02-20-18-45-42-456,excited,2.683
2018-02-20-18-46-00-776,excited,2.684
2018-02-20-18-46-27-357,excited,2.707
2018-02-20-18-49-33-194,excited,2.686
2018-02-20-18-50-32-167,excited,2.671
2018-02-20-18-50-56-021,excited,2.671
2018-02-20-18-51-32-982,excited,2.67
2018-02-20-18-52-25-290,excited,2.689
2018-02-20-18-53-17-678,excited,2.676
2018-02-20-18-57-44-895,excited,2.693
2018-02-20-18-57-59-824,excited,2.683
2018-02-20-18-58-48-398,excited,2.66
2018-02-20-19-01-02-444,excited,2.686
2018-02-20-19-02-05-551,excited,2.665
2018-02-20-19-03-27-248,excited,2.705
2018-02-20-19-03-59-895,excited,2.708
2018-02-20-19-10-01-451,excited,2.68
2018-02-20-19-16-04-136,excited,2.695
2018-02-20-19-16-08-785,excited,2.658
2018-02-20-19-16-40-869,excited,2.683
2018-02-20-19-18-11-539,excited,2.671
2018-02-20-19-18-17-381,excited,2.693
2018-02-20-19-20-02-757,excited,2.691
2018-02-20-19-20-26-286,excited,2.687
2018-02-20-19-21-03-066,excited,2.696
2018-02-20-19-21-15-605,excited,2.685
2018-02-20-19-21-27-706,excited,2.673
2018-02-20-19-21-33-242,excited,2.692
2018-02-20-19-21-45-373,excited,2.71
2018-02-20-19-22-22-927,excited,2.684
2018-02-20-19-25-59-012,excited,2.689
2018-02-20-19-26-24-774,excited,2.698
2018-02-20-19-26-59-443,excited,2.71
2018-02-20-19-27-16-351,excited,2.682
2018-02-20-19-27-20-346,excited,2.682
2018-02-20-19-27-26-964,excited,2.671
2018-02-20-19-27-35-789,excited,2.697
2018-02-20-19-27-52-718,excited,2.69
2018-02-20-19-28-08-161,excited,2.688
2018-02-20-19-28-17-712,excited,2.715
2018-02-20-19-28-46-336,excited,2.693
2018-02-20-19-29-02-846,excited,2.669
2018-02-20-19-31-07-767,excited,2.677
2018-02-20-19-32-13-397,excited,2.677
2018-02-20-19-35-29-473,excited,0.096
2018-02-20-19-35-30-071,Image,0.598
2018-02-20-19-35-32-084,excited,2.013
2018-02-20-19-36-00-111,excited,2.683
2018-02-20-19-36-59-324,excited,2.678
2018-02-20-19-37-58-829,excited,2.666
2018-02-20-19-40-43-858,excited,2.716
2018-02-20-19-41-08-477,excited,2.682
2018-02-20-19-41-36-337,excited,2.68
2018-02-20-19-42-55-383,excited,2.692
