total time excited,233267,
total time image,49871.1,
total number of excited,84277,
total number of image,12441,
average time excited,2.76786,
average time image,4.00861,
2018-02-13-10-32-45-997,excited,2.768
2018-02-13-10-36-16-335,excited,2.675
2018-02-13-11-32-39-950,excited,2.675
2018-02-13-11-34-01-613,excited,2.672
2018-02-13-11-36-34-816,excited,2.703
2018-02-13-11-38-28-417,excited,2.678
2018-02-13-11-40-38-950,excited,2.674
2018-02-13-11-40-59-891,excited,2.682
2018-02-13-11-42-18-746,excited,2.665
2018-02-13-11-42-27-247,excited,2.661
2018-02-13-11-43-23-186,excited,0.088
2018-02-13-11-43-24-491,Image,1.305
2018-02-13-11-43-26-495,excited,2.004
2018-02-13-11-43-30-005,excited,0.089
2018-02-13-11-43-30-930,Image,0.924
2018-02-13-11-43-32-951,excited,2.021
2018-02-13-11-43-56-541,excited,2.678
2018-02-13-11-44-16-968,excited,2.682
2018-02-13-11-44-56-737,excited,2.684
2018-02-13-11-47-39-442,excited,2.681
2018-02-13-11-49-17-535,excited,2.673
2018-02-13-11-49-47-369,excited,2.677
2018-02-13-11-50-55-629,excited,2.691
2018-02-13-11-52-23-688,excited,2.706
2018-02-13-11-52-43-096,excited,2.677
2018-02-13-11-56-07-986,excited,2.681
2018-02-13-11-58-44-078,excited,2.694
2018-02-13-11-58-48-793,excited,2.68
2018-02-13-11-59-04-708,excited,2.664
2018-02-13-12-03-26-416,excited,2.685
2018-02-13-12-03-51-159,excited,2.697
2018-02-13-12-05-12-307,excited,2.703
2018-02-13-12-07-20-456,excited,2.683
2018-02-13-12-08-14-132,excited,2.69
2018-02-13-12-11-11-163,excited,2.681
2018-02-13-12-14-12-318,excited,2.701
2018-02-13-12-15-08-327,excited,2.7
2018-02-13-12-15-31-861,excited,2.694
2018-02-13-12-15-44-964,excited,2.676
2018-02-13-12-16-32-355,excited,2.682
2018-02-13-12-17-10-339,excited,2.708
2018-02-13-12-19-24-402,excited,2.702
2018-02-13-12-19-33-886,excited,2.681
2018-02-13-12-21-53-834,excited,2.674
2018-02-13-12-23-22-201,excited,2.69
2018-02-13-12-28-33-776,excited,2.682
2018-02-13-12-30-35-311,excited,2.698
2018-02-13-12-31-30-611,excited,2.694
2018-02-13-12-31-55-333,excited,2.671
2018-02-13-12-32-50-484,excited,2.714
2018-02-13-12-33-39-725,excited,2.663
2018-02-13-12-33-46-418,excited,2.66
2018-02-13-12-38-45-993,excited,2.674
2018-02-13-12-39-45-137,excited,0.104
2018-02-13-12-39-45-457,Image,0.319
2018-02-13-12-39-47-460,excited,2.002
2018-02-13-12-40-27-801,excited,2.675
2018-02-13-12-43-12-489,excited,2.668
2018-02-13-12-43-23-396,excited,2.664
2018-02-13-12-43-50-863,excited,2.684
2018-02-13-12-44-03-111,excited,2.691
2018-02-13-12-44-17-919,excited,2.679
2018-02-13-12-49-03-537,excited,2.682
2018-02-13-12-56-20-761,excited,2.685
2018-02-13-12-59-10-780,excited,2.699
2018-02-13-12-59-18-468,excited,2.658
2018-02-13-12-59-45-426,excited,2.693
2018-02-13-13-01-50-239,excited,2.667
2018-02-13-13-02-27-715,excited,2.67
2018-02-13-13-04-07-007,excited,2.677
2018-02-13-13-06-10-553,excited,2.684
2018-02-13-13-07-19-751,excited,2.681
2018-02-13-13-09-03-241,excited,2.676
2018-02-13-13-14-24-959,excited,2.683
2018-02-13-13-14-29-895,excited,2.696
2018-02-13-13-15-54-511,excited,2.681
2018-02-13-13-16-35-919,excited,2.699
2018-02-13-13-17-35-002,excited,2.687
2018-02-13-13-21-23-310,excited,2.668
2018-02-13-13-21-35-544,excited,2.685
2018-02-13-13-21-45-968,excited,2.675
2018-02-13-13-21-52-077,excited,2.687
2018-02-13-13-22-39-779,excited,2.696
2018-02-13-15-10-27-444,excited,0.198
2018-02-13-15-10-39-928,Image,12.483
